,lcbatch,sortday,MS_Run,celltype,id,channel,sub,Set,well,label,sample.x,sample.y,isoTime,diameter,elongation,slide,field,dropXPos,dropYPos,pickupXPos,pickupYPos,wellAlph,wellNum
1440,A,B,34,m,i1440,Reporter.intensity.18,C1,XwAL00233,K17,18,m,d0,10:42:33 AM,32.59,1.71,3,1,31,34,37,36,K,17
1441,A,B,35,carrier,i1441,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1442,A,B,35,reference,i1442,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,A,B,35,unused,i1443,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,A,B,35,unused,i1444,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,A,B,35,m,i1445,Reporter.intensity.5,C1,XwAL00234,K18,5,m,d0,10:42:44 AM,24.49,1.6,3,1,61,34,59,36,K,18
1446,A,B,35,u,i1446,Reporter.intensity.6,NA,XwAL00234,K18,6,u,d0,11:23:44 AM,18.38,1.59,3,1,65,34,59,36,K,18
1447,A,B,35,u,i1447,Reporter.intensity.7,NA,XwAL00234,K18,7,u,d0,11:23:58 AM,20.63,1.64,3,1,53,38,59,36,K,18
1448,A,B,35,u,i1448,Reporter.intensity.8,NA,XwAL00234,K18,8,u,d0,11:24:00 AM,19.67,1.44,3,1,57,38,59,36,K,18
1449,A,B,35,u,i1449,Reporter.intensity.9,NA,XwAL00234,K18,9,u,d0,11:24:02 AM,20.98,1.42,3,1,61,38,59,36,K,18
1450,A,B,35,u,i1450,Reporter.intensity.10,NA,XwAL00234,K18,10,u,d0,11:24:03 AM,17.25,1.55,3,1,65,38,59,36,K,18
1451,A,B,35,u,i1451,Reporter.intensity.11,NA,XwAL00234,K18,11,u,d0,11:24:14 AM,18.8,1.53,3,1,55,42,59,36,K,18
1452,A,B,35,u,i1452,Reporter.intensity.12,NA,XwAL00234,K18,12,u,d0,11:24:15 AM,17.25,1.49,3,1,59,42,59,36,K,18
1453,A,B,35,neg,i1453,Reporter.intensity.13,NA,XwAL00234,K18,13,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1454,A,B,35,m,i1454,Reporter.intensity.14,NA,XwAL00234,K18,14,m,d0,10:42:20 AM,27.22,1.62,3,1,55,30,59,36,K,18
1455,A,B,35,m,i1455,Reporter.intensity.15,C1,XwAL00234,K18,15,m,d0,10:42:22 AM,25.81,1.64,3,1,59,30,59,36,K,18
1456,A,B,35,m,i1456,Reporter.intensity.16,C1,XwAL00234,K18,16,m,d0,10:42:23 AM,28.7,1.46,3,1,63,30,59,36,K,18
1457,A,B,35,m,i1457,Reporter.intensity.17,NA,XwAL00234,K18,17,m,d0,10:42:42 AM,22.47,1.61,3,1,53,34,59,36,K,18
1458,A,B,35,m,i1458,Reporter.intensity.18,C1,XwAL00234,K18,18,m,d0,10:42:43 AM,23.77,1.95,3,1,57,34,59,36,K,18
1459,A,B,36,carrier,i1459,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,A,B,36,reference,i1460,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1461,A,B,36,unused,i1461,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462,A,B,36,unused,i1462,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
